date,avg_new_cases_7d
2022-02-19,96816.57
2022-02-20,94525.0
2022-02-21,76556.71
2022-02-22,77513.29
2022-02-23,72897.29
2022-02-24,69362.71
2022-02-25,65243.14
2022-02-26,63026.14
2022-02-27,61148.29
2022-02-28,64522.71
2022-03-01,54084.29
2022-03-02,51100.43
2022-03-03,47835.57
2022-03-04,43220.14
2022-03-05,41572.14
2022-03-06,40230.71
2022-03-07,37885.29
2022-03-08,36141.57
2022-03-09,35159.86
2022-03-10,33376.43
2022-03-11,32534.29
2022-03-12,32199.57
2022-03-13,32287.71
2022-03-14,29766.14
2022-03-15,28917.14
2022-03-16,27766.0
2022-03-17,26902.29
2022-03-18,25963.71
2022-03-19,25640.57
2022-03-20,25701.0
2022-03-21,25815.86
2022-03-22,25791.57
2022-03-23,25397.86
2022-03-24,25278.71
2022-03-25,24919.0
2022-03-26,24909.86
2022-03-27,24844.43
2022-03-28,23933.71
2022-03-29,23515.71
2022-03-30,23875.0
2022-03-31,24167.14
2022-04-01,24143.43
2022-04-02,24220.71
2022-04-03,24192.57
2022-04-04,23432.29
2022-04-05,24998.71
2022-04-06,25548.86
2022-04-07,25251.71
2022-04-08,27304.71
2022-04-09,27848.43
2022-04-10,28581.29
2022-04-11,29588.29
2022-04-12,28787.14
2022-04-13,29263.0
2022-04-14,33493.0
2022-04-15,33787.29
2022-04-16,34134.86
2022-04-17,34764.57
2022-04-18,34992.0
2022-04-19,38534.86
2022-04-20,40430.14
2022-04-21,38834.29
2022-04-22,42623.29
2022-04-23,44141.57
2022-04-24,44543.57
2022-04-25,46748.0
2022-04-26,48421.43
2022-04-27,51121.57
2022-04-28,52809.14
2022-04-29,55041.71
2022-04-30,55568.86
2022-05-01,56180.29
2022-05-02,57832.86
2022-05-03,59182.0
2022-05-04,62682.71
2022-05-05,65433.0
2022-05-06,67770.86
2022-05-07,68057.86
2022-05-08,67362.57
2022-05-09,73718.0
2022-05-10,77329.71
2022-05-11,81053.29
2022-05-12,83832.71
2022-05-13,86544.86
2022-05-14,86594.86
2022-05-15,90077.0
2022-05-16,91187.71
2022-05-17,95027.29
2022-05-18,97709.14
2022-05-19,99320.0
2022-05-20,104424.86
2022-05-21,105549.0
2022-05-22,104549.0
2022-05-23,103866.71
2022-05-24,104685.43
2022-05-25,106171.29
2022-05-26,106333.71
2022-05-27,105756.43
2022-05-28,105755.86
2022-05-29,104745.71
2022-05-30,96873.71
2022-05-31,100474.86
2022-06-01,98169.71
2022-06-02,97967.29
2022-06-03,97052.14
2022-06-04,98690.14
2022-06-05,99911.14
2022-06-06,106208.14
2022-06-07,105245.71
2022-06-08,106415.57
2022-06-09,105646.43
2022-06-10,106321.14
2022-06-11,104573.43
2022-06-12,104026.86
2022-06-13,102970.71
2022-06-14,101109.86
2022-06-15,100508.57
2022-06-16,99376.71
2022-06-17,96179.57
2022-06-18,95911.71
2022-06-19,95806.29
2022-06-20,90195.57
2022-06-21,97257.57
2022-06-22,95625.57
2022-06-23,96422.57
2022-06-24,101956.43
2022-06-25,103314.86
2022-06-26,103953.71
2022-06-27,110175.71
2022-06-28,105550.14
2022-06-29,107781.29
2022-06-30,109092.57
2022-07-01,109799.0
2022-07-02,109883.43
2022-07-03,109438.57
2022-07-04,102649.43
2022-07-05,104877.29
2022-07-06,103867.14
2022-07-07,104317.0
2022-07-08,104965.29
2022-07-09,105792.0
2022-07-10,107389.0
2022-07-11,117507.43
2022-07-12,119426.14
2022-07-13,121074.86
2022-07-14,124088.43
2022-07-15,125589.0
2022-07-16,125676.0
2022-07-17,125566.71
2022-07-18,123692.86
2022-07-19,122704.14
2022-07-20,123440.43
2022-07-21,124795.43
2022-07-22,124386.57
2022-07-23,124069.43
2022-07-24,123952.29
2022-07-25,124598.57
2022-07-26,123278.14
2022-07-27,123416.29
2022-07-28,122902.71
2022-07-29,120819.29
2022-07-30,118638.86
2022-07-31,116510.29
2022-08-01,118362.29
2022-08-02,117200.86
2022-08-03,115739.14
2022-08-04,114120.43
2022-08-05,111630.57
2022-08-06,111019.57
2022-08-07,110629.14
2022-08-08,107793.71
2022-08-09,104454.14
2022-08-10,102822.86
2022-08-11,101865.71
2022-08-12,99873.0
2022-08-13,99496.43
2022-08-14,98726.43
2022-08-15,97689.86
2022-08-16,96329.0
2022-08-17,93755.57
2022-08-18,92080.71
2022-08-19,90555.14
2022-08-20,90010.29
2022-08-21,90053.71
2022-08-22,88496.86
2022-08-23,86936.57
2022-08-24,88382.71
2022-08-25,87954.43
2022-08-26,85954.14
2022-08-27,86097.14
2022-08-28,85935.43
2022-08-29,85900.43
2022-08-30,85950.14
2022-08-31,84512.71
2022-09-01,83501.71
2022-09-02,82464.0
2022-09-03,81815.86
2022-09-04,81529.43
2022-09-05,72958.57
2022-09-06,73501.29
2022-09-07,69162.29
2022-09-08,66901.14
2022-09-09,63287.71
2022-09-10,62750.86
2022-09-11,62497.43
2022-09-12,67595.57
2022-09-13,58581.14
2022-09-14,57792.57
